context,sequence_id,model,ridge_id,delta,delta_definition
WITHIN_UZH,indoor_forward_9_snapdragon,Transformer,B3_RIDGE_QF_QW,-0.0167700194,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,indoor_forward_10_snapdragon,Transformer,B3_RIDGE_QF_QW,-0.0400445894,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,indoor_45_2_snapdragon,Transformer,B3_RIDGE_QF_QW,-0.082722887,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,indoor_45_4_snapdragon,Transformer,B3_RIDGE_QF_QW,-0.039467994,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,indoor_45_13_snapdragon,Transformer,B3_RIDGE_QF_QW,-0.098648372,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,indoor_45_14_snapdragon,Transformer,B3_RIDGE_QF_QW,-0.085501846,RMSE_advanced - RMSE_B3_Ridge
WITHIN_UZH,outdoor_forward_1_snapdragon,Transformer,B3_RIDGE_QF_QW,0.016692635,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_forward_6_snapdragon,TCN,B3_RIDGE_QF_QW,0.0247183,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_forward_9_snapdragon,TCN,B3_RIDGE_QF_QW,-0.0049423015,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_forward_10_snapdragon,TCN,B3_RIDGE_QF_QW,-0.008322491,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_45_2_snapdragon,TCN,B3_RIDGE_QF_QW,-0.00418381,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_45_4_snapdragon,TCN,B3_RIDGE_QF_QW,-0.067902665,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_45_13_snapdragon,TCN,B3_RIDGE_QF_QW,-0.084991562,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_45_14_snapdragon,TCN,B3_RIDGE_QF_QW,0.039246482,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,outdoor_forward_1_snapdragon,TCN,B3_RIDGE_QF_QW,-0.015548451,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_forward_6_snapdragon,GRU,B3_RIDGE_QF_QW,0.190400901,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_forward_9_snapdragon,GRU,B3_RIDGE_QF_QW,-0.0247820414,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_forward_10_snapdragon,GRU,B3_RIDGE_QF_QW,0.003617475,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_45_2_snapdragon,GRU,B3_RIDGE_QF_QW,0.028836205,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_45_4_snapdragon,GRU,B3_RIDGE_QF_QW,-0.033734643,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_45_13_snapdragon,GRU,B3_RIDGE_QF_QW,-0.120563107,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_45_14_snapdragon,GRU,B3_RIDGE_QF_QW,0.114155457,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,outdoor_forward_1_snapdragon,GRU,B3_RIDGE_QF_QW,-0.038821677,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_forward_6_snapdragon,Transformer,B3_RIDGE_QF_QW,0.466059203,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_forward_9_snapdragon,Transformer,B3_RIDGE_QF_QW,0.1339946345,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_forward_10_snapdragon,Transformer,B3_RIDGE_QF_QW,0.202187223,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_45_2_snapdragon,Transformer,B3_RIDGE_QF_QW,0.05866239,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_45_4_snapdragon,Transformer,B3_RIDGE_QF_QW,0.01115688,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_45_13_snapdragon,Transformer,B3_RIDGE_QF_QW,-0.09988547,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,indoor_45_14_snapdragon,Transformer,B3_RIDGE_QF_QW,0.270654718,RMSE_advanced - RMSE_B3_Ridge
EUROC_TO_UZH,outdoor_forward_1_snapdragon,Transformer,B3_RIDGE_QF_QW,0.016651982,RMSE_advanced - RMSE_B3_Ridge
UZH_TO_EUROC,V1_01_easy,TCN,B3_RIDGE_QF_QW,0.0081965175,RMSE_advanced - RMSE_B3_Ridge
UZH_TO_EUROC,V1_02_medium,TCN,B3_RIDGE_QF_QW,0.0007610388,RMSE_advanced - RMSE_B3_Ridge
UZH_TO_EUROC,V1_03_difficult,TCN,B3_RIDGE_QF_QW,-0.0359970028,RMSE_advanced - RMSE_B3_Ridge
UZH_TO_EUROC,V2_01_easy,TCN,B3_RIDGE_QF_QW,0.0028240748,RMSE_advanced - RMSE_B3_Ridge
UZH_TO_EUROC,V2_02_medium,TCN,B3_RIDGE_QF_QW,-0.0079458613,RMSE_advanced - RMSE_B3_Ridge
UZH_TO_EUROC,V2_03_difficult,TCN,B3_RIDGE_QF_QW,-0.0003680505,RMSE_advanced - RMSE_B3_Ridge
UZH_TO_EUROC,V1_01_easy,GRU,B3_RIDGE_QF_QW,-0.0305975701,RMSE_advanced - RMSE_B3_Ridge
UZH_TO_EUROC,V1_02_medium,GRU,B3_RIDGE_QF_QW,-0.0286022189,RMSE_advanced - RMSE_B3_Ridge
UZH_TO_EUROC,V1_03_difficult,GRU,B3_RIDGE_QF_QW,-0.0505856657,RMSE_advanced - RMSE_B3_Ridge
UZH_TO_EUROC,V2_01_easy,GRU,B3_RIDGE_QF_QW,0.0020481463,RMSE_advanced - RMSE_B3_Ridge
UZH_TO_EUROC,V2_02_medium,GRU,B3_RIDGE_QF_QW,-0.0309585124,RMSE_advanced - RMSE_B3_Ridge
UZH_TO_EUROC,V2_03_difficult,GRU,B3_RIDGE_QF_QW,-0.0178820657,RMSE_advanced - RMSE_B3_Ridge
UZH_TO_EUROC,V1_01_easy,Transformer,B3_RIDGE_QF_QW,-0.028951812,RMSE_advanced - RMSE_B3_Ridge
UZH_TO_EUROC,V1_02_medium,Transformer,B3_RIDGE_QF_QW,-0.0264272549,RMSE_advanced - RMSE_B3_Ridge
UZH_TO_EUROC,V1_03_difficult,Transformer,B3_RIDGE_QF_QW,-0.032265311,RMSE_advanced - RMSE_B3_Ridge
UZH_TO_EUROC,V2_01_easy,Transformer,B3_RIDGE_QF_QW,-0.0001418892,RMSE_advanced - RMSE_B3_Ridge
UZH_TO_EUROC,V2_02_medium,Transformer,B3_RIDGE_QF_QW,-0.0078692563,RMSE_advanced - RMSE_B3_Ridge
UZH_TO_EUROC,V2_03_difficult,Transformer,B3_RIDGE_QF_QW,0.0121049264,RMSE_advanced - RMSE_B3_Ridge
