evaluation_context,sequence_id,model,skill
EUROC_TO_UZH,indoor_forward_9_snapdragon,B1_LINEAR,-0.5707692742670327
EUROC_TO_UZH,indoor_forward_10_snapdragon,B1_LINEAR,-0.7326428240334191
EUROC_TO_UZH,indoor_45_2_snapdragon,B1_LINEAR,-1.3412338762101323
EUROC_TO_UZH,indoor_45_4_snapdragon,B1_LINEAR,-1.4296626233521876
EUROC_TO_UZH,indoor_45_13_snapdragon,B1_LINEAR,-1.1575120757504154
EUROC_TO_UZH,indoor_45_14_snapdragon,B1_LINEAR,-1.3302354471422473
EUROC_TO_UZH,outdoor_forward_1_snapdragon,B1_LINEAR,-0.9521016636107169
EUROC_TO_UZH,indoor_forward_6_snapdragon,B2_RIDGE_QF,0.04356094263200605
EUROC_TO_UZH,indoor_forward_9_snapdragon,B2_RIDGE_QF,-0.24108103864344654
EUROC_TO_UZH,indoor_forward_10_snapdragon,B2_RIDGE_QF,-0.16008616602163306
EUROC_TO_UZH,indoor_45_2_snapdragon,B2_RIDGE_QF,0.15407524453948696
EUROC_TO_UZH,indoor_45_4_snapdragon,B2_RIDGE_QF,0.16101143868535905
EUROC_TO_UZH,indoor_45_13_snapdragon,B2_RIDGE_QF,0.17989554883519332
EUROC_TO_UZH,indoor_45_14_snapdragon,B2_RIDGE_QF,0.059280719528198245
EUROC_TO_UZH,outdoor_forward_1_snapdragon,B2_RIDGE_QF,0.2733177161771363
EUROC_TO_UZH,indoor_forward_6_snapdragon,B3_RIDGE_QF_QW,0.06503291073556106
EUROC_TO_UZH,indoor_forward_9_snapdragon,B3_RIDGE_QF_QW,-0.17795065773051078
EUROC_TO_UZH,indoor_forward_10_snapdragon,B3_RIDGE_QF_QW,-0.10519741987980735
EUROC_TO_UZH,indoor_45_2_snapdragon,B3_RIDGE_QF_QW,0.16801938040025144
EUROC_TO_UZH,indoor_45_4_snapdragon,B3_RIDGE_QF_QW,0.16650588705432678
EUROC_TO_UZH,indoor_45_13_snapdragon,B3_RIDGE_QF_QW,0.18733069121596835
EUROC_TO_UZH,indoor_45_14_snapdragon,B3_RIDGE_QF_QW,0.07863827707864302
EUROC_TO_UZH,outdoor_forward_1_snapdragon,B3_RIDGE_QF_QW,0.28154187388841545
UZH_TO_EUROC,V1_01_easy,B1_LINEAR,-0.6049994802483398
UZH_TO_EUROC,V1_02_medium,B1_LINEAR,-0.5677963292550954
UZH_TO_EUROC,V1_03_difficult,B1_LINEAR,-0.5187767209962302
UZH_TO_EUROC,V2_01_easy,B1_LINEAR,-1.1627524523311883
UZH_TO_EUROC,V2_02_medium,B1_LINEAR,-0.6683297791107876
UZH_TO_EUROC,V2_03_difficult,B1_LINEAR,-0.8580093250693253
UZH_TO_EUROC,V1_01_easy,B2_RIDGE_QF,0.1523266893112859
UZH_TO_EUROC,V1_02_medium,B2_RIDGE_QF,0.03025816161451922
UZH_TO_EUROC,V1_03_difficult,B2_RIDGE_QF,0.060875348686086794
UZH_TO_EUROC,V2_01_easy,B2_RIDGE_QF,0.17896428254267427
UZH_TO_EUROC,V2_02_medium,B2_RIDGE_QF,0.09079623991383867
UZH_TO_EUROC,V2_03_difficult,B2_RIDGE_QF,0.1341108850108217
UZH_TO_EUROC,V1_01_easy,B3_RIDGE_QF_QW,0.04064632250043476
UZH_TO_EUROC,V1_02_medium,B3_RIDGE_QF_QW,0.052666287530982014
UZH_TO_EUROC,V1_03_difficult,B3_RIDGE_QF_QW,0.01748814772881524
UZH_TO_EUROC,V2_01_easy,B3_RIDGE_QF_QW,0.16141446454719865
UZH_TO_EUROC,V2_02_medium,B3_RIDGE_QF_QW,0.09189837160442682
UZH_TO_EUROC,V2_03_difficult,B3_RIDGE_QF_QW,0.1406174878475891
