object_name,model,transfer_direction,fit_dataset,fit_sequences,validation_dataset,validation_sequences,target_dataset_access_during_fit,status
FREEZE|UZH_FPV|TRANSFORMER|seed20260913,TRANSFORMER,NONE_YET_SOURCE_FIT,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",,,NO,PASS
FREEZE|UZH_FPV|TRANSFORMER|seed20260914,TRANSFORMER,NONE_YET_SOURCE_FIT,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",,,NO,PASS
LORO|EUROC|V1_01_easy|TCN|seed20260914,TCN,WITHIN_DOMAIN,EUROC,"V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_01_easy,NO,PASS
LORO|EUROC|V1_01_easy|TCN|seed20260913,TCN,WITHIN_DOMAIN,EUROC,"V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_01_easy,NO,PASS
LORO|EUROC|V1_01_easy|TCN|seed20260912,TCN,WITHIN_DOMAIN,EUROC,"V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_01_easy,NO,PASS
LORO|EUROC|V1_01_easy|GRU|seed20260913,GRU,WITHIN_DOMAIN,EUROC,"V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_01_easy,NO,PASS
LORO|EUROC|V1_01_easy|GRU|seed20260912,GRU,WITHIN_DOMAIN,EUROC,"V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_01_easy,NO,PASS
LORO|EUROC|V1_01_easy|GRU|seed20260914,GRU,WITHIN_DOMAIN,EUROC,"V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_01_easy,NO,PASS
LORO|EUROC|V1_02_medium|TCN|seed20260912,TCN,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_02_medium,NO,PASS
LORO|EUROC|V1_01_easy|TRANSFORMER|seed20260912,TRANSFORMER,WITHIN_DOMAIN,EUROC,"V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_01_easy,NO,PASS
LORO|EUROC|V1_02_medium|TCN|seed20260913,TCN,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_02_medium,NO,PASS
LORO|EUROC|V1_02_medium|TCN|seed20260914,TCN,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_02_medium,NO,PASS
LORO|EUROC|V1_01_easy|TRANSFORMER|seed20260913,TRANSFORMER,WITHIN_DOMAIN,EUROC,"V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_01_easy,NO,PASS
LORO|EUROC|V1_01_easy|TRANSFORMER|seed20260914,TRANSFORMER,WITHIN_DOMAIN,EUROC,"V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_01_easy,NO,PASS
LORO|EUROC|V1_02_medium|GRU|seed20260912,GRU,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_02_medium,NO,PASS
LORO|EUROC|V1_02_medium|GRU|seed20260913,GRU,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_02_medium,NO,PASS
LORO|EUROC|V1_02_medium|GRU|seed20260914,GRU,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_02_medium,NO,PASS
LORO|EUROC|V1_02_medium|TRANSFORMER|seed20260912,TRANSFORMER,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_02_medium,NO,PASS
LORO|EUROC|V1_03_difficult|TCN|seed20260912,TCN,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_03_difficult,NO,PASS
LORO|EUROC|V1_02_medium|TRANSFORMER|seed20260913,TRANSFORMER,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_02_medium,NO,PASS
LORO|EUROC|V1_03_difficult|TCN|seed20260913,TCN,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_03_difficult,NO,PASS
LORO|EUROC|V1_03_difficult|TCN|seed20260914,TCN,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_03_difficult,NO,PASS
LORO|EUROC|V1_02_medium|TRANSFORMER|seed20260914,TRANSFORMER,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_02_medium,NO,PASS
LORO|EUROC|V1_03_difficult|GRU|seed20260912,GRU,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_03_difficult,NO,PASS
LORO|EUROC|V1_03_difficult|GRU|seed20260914,GRU,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_03_difficult,NO,PASS
LORO|EUROC|V1_03_difficult|GRU|seed20260913,GRU,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_03_difficult,NO,PASS
LORO|EUROC|V1_03_difficult|TRANSFORMER|seed20260912,TRANSFORMER,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_03_difficult,NO,PASS
LORO|EUROC|V1_03_difficult|TRANSFORMER|seed20260913,TRANSFORMER,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_03_difficult,NO,PASS
LORO|EUROC|V2_01_easy|TCN|seed20260912,TCN,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_02_medium,V2_03_difficult",EUROC,V2_01_easy,NO,PASS
LORO|EUROC|V1_03_difficult|TRANSFORMER|seed20260914,TRANSFORMER,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V2_01_easy,V2_02_medium,V2_03_difficult",EUROC,V1_03_difficult,NO,PASS
LORO|EUROC|V2_01_easy|TCN|seed20260913,TCN,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_02_medium,V2_03_difficult",EUROC,V2_01_easy,NO,PASS
LORO|EUROC|V2_01_easy|TCN|seed20260914,TCN,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_02_medium,V2_03_difficult",EUROC,V2_01_easy,NO,PASS
LORO|EUROC|V2_01_easy|GRU|seed20260912,GRU,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_02_medium,V2_03_difficult",EUROC,V2_01_easy,NO,PASS
LORO|EUROC|V2_01_easy|GRU|seed20260913,GRU,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_02_medium,V2_03_difficult",EUROC,V2_01_easy,NO,PASS
LORO|EUROC|V2_01_easy|GRU|seed20260914,GRU,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_02_medium,V2_03_difficult",EUROC,V2_01_easy,NO,PASS
LORO|EUROC|V2_01_easy|TRANSFORMER|seed20260912,TRANSFORMER,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_02_medium,V2_03_difficult",EUROC,V2_01_easy,NO,PASS
LORO|EUROC|V2_02_medium|TCN|seed20260912,TCN,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_03_difficult",EUROC,V2_02_medium,NO,PASS
LORO|EUROC|V2_02_medium|TCN|seed20260913,TCN,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_03_difficult",EUROC,V2_02_medium,NO,PASS
LORO|EUROC|V2_01_easy|TRANSFORMER|seed20260913,TRANSFORMER,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_02_medium,V2_03_difficult",EUROC,V2_01_easy,NO,PASS
LORO|EUROC|V2_01_easy|TRANSFORMER|seed20260914,TRANSFORMER,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_02_medium,V2_03_difficult",EUROC,V2_01_easy,NO,PASS
LORO|EUROC|V2_02_medium|TCN|seed20260914,TCN,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_03_difficult",EUROC,V2_02_medium,NO,PASS
LORO|EUROC|V2_02_medium|TRANSFORMER|seed20260912,TRANSFORMER,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_03_difficult",EUROC,V2_02_medium,NO,PASS
LORO|EUROC|V2_02_medium|TRANSFORMER|seed20260913,TRANSFORMER,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_03_difficult",EUROC,V2_02_medium,NO,PASS
LORO|EUROC|V2_02_medium|GRU|seed20260913,GRU,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_03_difficult",EUROC,V2_02_medium,NO,PASS
LORO|EUROC|V2_02_medium|GRU|seed20260912,GRU,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_03_difficult",EUROC,V2_02_medium,NO,PASS
LORO|EUROC|V2_02_medium|TRANSFORMER|seed20260914,TRANSFORMER,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_03_difficult",EUROC,V2_02_medium,NO,PASS
LORO|EUROC|V2_02_medium|GRU|seed20260914,GRU,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_03_difficult",EUROC,V2_02_medium,NO,PASS
LORO|EUROC|V2_03_difficult|TCN|seed20260912,TCN,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium",EUROC,V2_03_difficult,NO,PASS
LORO|EUROC|V2_03_difficult|TCN|seed20260913,TCN,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium",EUROC,V2_03_difficult,NO,PASS
LORO|EUROC|V2_03_difficult|TCN|seed20260914,TCN,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium",EUROC,V2_03_difficult,NO,PASS
LORO|EUROC|V2_03_difficult|GRU|seed20260912,GRU,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium",EUROC,V2_03_difficult,NO,PASS
LORO|EUROC|V2_03_difficult|GRU|seed20260913,GRU,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium",EUROC,V2_03_difficult,NO,PASS
LORO|EUROC|V2_03_difficult|GRU|seed20260914,GRU,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium",EUROC,V2_03_difficult,NO,PASS
LORO|UZH|indoor_forward_6_snapdragon|TCN|seed20260912,TCN,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_6_snapdragon,NO,PASS
LORO|UZH|indoor_forward_6_snapdragon|TCN|seed20260913,TCN,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_6_snapdragon,NO,PASS
LORO|EUROC|V2_03_difficult|TRANSFORMER|seed20260912,TRANSFORMER,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium",EUROC,V2_03_difficult,NO,PASS
LORO|UZH|indoor_forward_6_snapdragon|TCN|seed20260914,TCN,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_6_snapdragon,NO,PASS
LORO|EUROC|V2_03_difficult|TRANSFORMER|seed20260913,TRANSFORMER,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium",EUROC,V2_03_difficult,NO,PASS
LORO|EUROC|V2_03_difficult|TRANSFORMER|seed20260914,TRANSFORMER,WITHIN_DOMAIN,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium",EUROC,V2_03_difficult,NO,PASS
LORO|UZH|indoor_forward_6_snapdragon|GRU|seed20260912,GRU,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_6_snapdragon,NO,PASS
LORO|UZH|indoor_forward_6_snapdragon|GRU|seed20260913,GRU,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_6_snapdragon,NO,PASS
LORO|UZH|indoor_forward_6_snapdragon|GRU|seed20260914,GRU,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_6_snapdragon,NO,PASS
LORO|UZH|indoor_forward_9_snapdragon|TCN|seed20260912,TCN,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_9_snapdragon,NO,PASS
LORO|UZH|indoor_forward_9_snapdragon|TCN|seed20260913,TCN,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_9_snapdragon,NO,PASS
LORO|UZH|indoor_forward_9_snapdragon|TCN|seed20260914,TCN,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_9_snapdragon,NO,PASS
LORO|UZH|indoor_forward_6_snapdragon|TRANSFORMER|seed20260912,TRANSFORMER,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_6_snapdragon,NO,PASS
LORO|UZH|indoor_forward_6_snapdragon|TRANSFORMER|seed20260913,TRANSFORMER,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_6_snapdragon,NO,PASS
LORO|UZH|indoor_forward_6_snapdragon|TRANSFORMER|seed20260914,TRANSFORMER,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_6_snapdragon,NO,PASS
LORO|UZH|indoor_forward_9_snapdragon|GRU|seed20260912,GRU,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_9_snapdragon,NO,PASS
LORO|UZH|indoor_forward_9_snapdragon|GRU|seed20260914,GRU,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_9_snapdragon,NO,PASS
LORO|UZH|indoor_forward_9_snapdragon|GRU|seed20260913,GRU,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_9_snapdragon,NO,PASS
LORO|UZH|indoor_forward_10_snapdragon|TCN|seed20260912,TCN,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_10_snapdragon,NO,PASS
LORO|UZH|indoor_forward_10_snapdragon|TCN|seed20260913,TCN,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_10_snapdragon,NO,PASS
LORO|UZH|indoor_forward_10_snapdragon|TCN|seed20260914,TCN,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_10_snapdragon,NO,PASS
LORO|UZH|indoor_forward_10_snapdragon|GRU|seed20260912,GRU,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_10_snapdragon,NO,PASS
LORO|UZH|indoor_forward_10_snapdragon|GRU|seed20260914,GRU,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_10_snapdragon,NO,PASS
LORO|UZH|indoor_forward_10_snapdragon|GRU|seed20260913,GRU,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_10_snapdragon,NO,PASS
LORO|UZH|indoor_forward_9_snapdragon|TRANSFORMER|seed20260913,TRANSFORMER,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_9_snapdragon,NO,PASS
LORO|UZH|indoor_forward_9_snapdragon|TRANSFORMER|seed20260912,TRANSFORMER,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_9_snapdragon,NO,PASS
LORO|UZH|indoor_forward_9_snapdragon|TRANSFORMER|seed20260914,TRANSFORMER,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_forward_9_snapdragon,NO,PASS
LORO|UZH|indoor_45_2_snapdragon|TCN|seed20260912,TCN,WITHIN_DOMAIN,UZH_FPV,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",UZH_FPV,indoor_45_2_snapdragon,NO,PASS
