fold_id,evaluation_class,source_or_domain,split_role,dataset,sequence_id,dependency_group,notes
EUROC_LORO_04_V2_01_easy,WITHIN_EUROC,EUROC,test,EUROC,V2_01_easy,EUROC_FIREFLY_VICON_ROOM2,leave-one-recording-out; windows of held-out sequence never train
EUROC_LORO_04_V2_01_easy,WITHIN_EUROC,EUROC,train,EUROC,V2_02_medium,EUROC_FIREFLY_VICON_ROOM2,leave-one-recording-out; windows of held-out sequence never train
EUROC_LORO_04_V2_01_easy,WITHIN_EUROC,EUROC,train,EUROC,V2_03_difficult,EUROC_FIREFLY_VICON_ROOM2,leave-one-recording-out; windows of held-out sequence never train
EUROC_LORO_05_V2_02_medium,WITHIN_EUROC,EUROC,train,EUROC,V1_01_easy,EUROC_FIREFLY_VICON_ROOM1,leave-one-recording-out; windows of held-out sequence never train
EUROC_LORO_05_V2_02_medium,WITHIN_EUROC,EUROC,train,EUROC,V1_02_medium,EUROC_FIREFLY_VICON_ROOM1,leave-one-recording-out; windows of held-out sequence never train
EUROC_LORO_05_V2_02_medium,WITHIN_EUROC,EUROC,train,EUROC,V1_03_difficult,EUROC_FIREFLY_VICON_ROOM1,leave-one-recording-out; windows of held-out sequence never train
EUROC_LORO_05_V2_02_medium,WITHIN_EUROC,EUROC,train,EUROC,V2_01_easy,EUROC_FIREFLY_VICON_ROOM2,leave-one-recording-out; windows of held-out sequence never train
EUROC_LORO_05_V2_02_medium,WITHIN_EUROC,EUROC,test,EUROC,V2_02_medium,EUROC_FIREFLY_VICON_ROOM2,leave-one-recording-out; windows of held-out sequence never train
EUROC_LORO_05_V2_02_medium,WITHIN_EUROC,EUROC,train,EUROC,V2_03_difficult,EUROC_FIREFLY_VICON_ROOM2,leave-one-recording-out; windows of held-out sequence never train
EUROC_LORO_06_V2_03_difficult,WITHIN_EUROC,EUROC,train,EUROC,V1_01_easy,EUROC_FIREFLY_VICON_ROOM1,leave-one-recording-out; windows of held-out sequence never train
EUROC_LORO_06_V2_03_difficult,WITHIN_EUROC,EUROC,train,EUROC,V1_02_medium,EUROC_FIREFLY_VICON_ROOM1,leave-one-recording-out; windows of held-out sequence never train
EUROC_LORO_06_V2_03_difficult,WITHIN_EUROC,EUROC,train,EUROC,V1_03_difficult,EUROC_FIREFLY_VICON_ROOM1,leave-one-recording-out; windows of held-out sequence never train
EUROC_LORO_06_V2_03_difficult,WITHIN_EUROC,EUROC,train,EUROC,V2_01_easy,EUROC_FIREFLY_VICON_ROOM2,leave-one-recording-out; windows of held-out sequence never train
EUROC_LORO_06_V2_03_difficult,WITHIN_EUROC,EUROC,train,EUROC,V2_02_medium,EUROC_FIREFLY_VICON_ROOM2,leave-one-recording-out; windows of held-out sequence never train
EUROC_LORO_06_V2_03_difficult,WITHIN_EUROC,EUROC,test,EUROC,V2_03_difficult,EUROC_FIREFLY_VICON_ROOM2,leave-one-recording-out; windows of held-out sequence never train
